FighterId,FirstName,LastName,Nickname,WeightClass,BirthDate,Height,Weight,Reach,Wins,Losses,Draws,NoContests,TechnicalKnockouts,TechnicalKnockoutLosses,Submissions,SubmissionLosses,TitleWins,TitleLosses,TitleDraws,CareerStats.FighterId,CareerStats.FirstName,CareerStats.LastName,CareerStats.SigStrikesLandedPerMinute,CareerStats.SigStrikeAccuracy,CareerStats.TakedownAverage,CareerStats.SubmissionAverage,CareerStats.KnockoutPercentage,CareerStats.TechnicalKnockoutPercentage,CareerStats.DecisionPercentage,CareerStats
140000001,Chance,Rencountre,Black Eagle,Welterweight,1986-12-31T00:00:00,74.0,170.0,75.0,14.0,4.0,0.0,0.0,14.0,2.0,7.0,0.0,0.0,0.0,0.0,140000001.0,Chance,Rencountre,2.6,31.7,3.2,0.8,0.0,0.0,13.3,
140000002,Kyle,Stewart,Gunz Up,Welterweight,1989-01-31T00:00:00,72.0,170.0,76.5,12.0,3.0,0.0,0.0,12.0,0.0,7.0,2.0,0.0,2.0,0.0,140000002.0,Kyle,Stewart,3.4,54.3,3.1,0.0,0.0,0.0,0.0,
140000003,Geoff,Neal,Handz of Steel,Welterweight,1990-08-28T00:00:00,71.0,171.0,75.0,13.0,3.0,0.0,0.0,12.0,2.0,5.0,2.0,0.0,0.0,0.0,140000003.0,Geoff,Neal,11.8,75.8,1.2,0.6,29.0,29.0,14.9,
140000004,Belal,Muhammad,Remember the Name,Welterweight,1988-07-09T00:00:00,71.0,170.0,72.0,18.0,3.0,0.0,0.0,10.0,2.0,2.0,0.0,2.0,0.0,0.0,140000004.0,Belal,Muhammad,11.6,66.9,4.8,0.4,11.3,11.3,51.5,
140000005,Dennis,Bermudez,The Menace,Featherweight,1986-12-13T00:00:00,66.0,155.0,66.0,17.0,9.0,0.0,0.0,10.0,5.0,7.0,10.0,0.0,0.0,0.0,140000005.0,Dennis,Bermudez,10.6,70.8,9.1,2.4,8.8,8.8,40.0,
140000006,Te,Edwards,Tango,Lightweight,1990-09-11T00:00:00,68.0,155.0,72.0,6.0,3.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,140000006.0,Te,Edwards,3.6,64.7,1.7,0.0,0.0,0.0,0.0,
140000007,Cory,Sandhagen,,Bantamweight,1992-04-20T00:00:00,71.0,135.0,70.0,14.0,2.0,0.0,0.0,14.0,0.0,7.0,2.0,0.0,0.0,0.0,140000007.0,Cory,Sandhagen,10.6,74.5,2.6,1.3,38.6,38.6,19.3,
140000008,Mario,Bautista,,Bantamweight,1993-07-01T00:00:00,69.0,135.0,69.0,8.0,1.0,0.0,0.0,7.0,0.0,7.0,2.0,0.0,0.0,0.0,140000008.0,Mario,Bautista,14.8,69.8,1.4,0.0,17.2,17.2,17.2,
140000009,Alonzo,Menifield,,Light Heavyweight,1987-10-18T00:00:00,72.0,205.0,76.0,9.0,2.0,0.0,0.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,140000009.0,Alonzo,Menifield,8.0,73.6,0.0,0.0,28.1,28.1,0.0,
140000010,Vinicius,Moreira,Mamute,Light Heavyweight,1989-02-28T00:00:00,76.0,206.0,76.0,9.0,5.0,0.0,0.0,2.0,10.0,12.0,2.0,0.0,0.0,0.0,140000010.0,Vinicius,Moreira,7.5,91.1,4.7,3.1,0.0,0.0,0.0,
140000011,Joanne,Calderwood,JoJo,Women's Flyweight,1985-12-23T00:00:00,66.0,125.0,65.5,15.0,5.0,0.0,0.0,12.0,0.0,2.0,7.0,0.0,0.0,0.0,140000011.0,Joanne,Calderwood,10.2,77.0,4.3,1.1,11.9,11.9,38.6,
